HDI,PDRB,IK,APBD,APSSD,APSSLTP,DropSD,DropSMP
0.864285714,405.1821429,-0.551071429,398.3567857,1.5575,2.286785714,-0.885357143,-4.971071429
2.164285714,-166.8178571,0.688928571,-99.72321429,2.4575,7.986785714,-0.985357143,-3.571071429
1.364285714,-464.8178571,-1.901071429,85.00678571,1.9575,4.586785714,0.814642857,1.228928571
2.864285714,2630.182143,-4.511071429,-6.053214286,1.5575,5.786785714,-1.285357143,-4.171071429
0.964285714,-888.8178571,-0.921071429,-40.66321429,1.4575,1.686785714,-0.385357143,-3.671071429
-0.535714286,-450.8178571,0.218928571,-167.7632143,0.4575,-2.413214286,1.114642857,2.628928571
0.364285714,-984.8178571,-2.351071429,-49.57321429,0.6575,2.786785714,-0.185357143,1.428928571
-1.435714286,-1190.817857,1.768928571,-270.9332143,0.3575,1.586785714,-0.985357143,-3.071071429
8.064285714,3800.182143,-11.13107143,304.4867857,3.6575,12.98678571,-2.285357143,-9.471071429
0.164285714,-526.8178571,-2.571071429,-223.0832143,0.6575,-7.213214286,-0.585357143,-5.071071429
0.164285714,-860.8178571,2.508928571,-197.8032143,2.6575,2.086785714,-2.285357143,-8.271071429
4.264285714,-588.8178571,-1.931071429,-65.43321429,4.4575,15.98678571,-3.385357143,-11.87107143
-2.635714286,-514.8178571,2.878928571,-170.2632143,0.6575,0.986785714,-1.385357143,-6.171071429
-3.835714286,-271.8178571,10.18892857,-26.48321429,-4.4425,-3.413214286,1.514642857,9.828928571
2.264285714,207.1821429,0.598928571,202.6067857,2.7575,1.186785714,-0.685357143,1.628928571
-2.235714286,-167.8178571,1.508928571,103.4167857,-0.0425,-7.213214286,1.114642857,1.028928571
3.364285714,6258.182143,-0.481071429,78.91678571,2.2575,5.186785714,-0.785357143,-4.571071429
2.664285714,-708.8178571,-3.771071429,24.69678571,-1.1425,-2.713214286,2.914642857,7.828928571
-1.635714286,-1072.817857,-4.331071429,-46.18321429,-0.1425,-10.01321429,1.914642857,7.728928571
-0.835714286,-935.8178571,-6.081071429,-14.43321429,-3.6425,-9.813214286,2.814642857,3.528928571
-1.535714286,-1235.817857,-2.671071429,105.3567857,-1.0425,-2.413214286,1.914642857,6.028928571
1.264285714,288.1821429,-10.15107143,332.1267857,1.9575,4.186785714,-1.785357143,-8.471071429
-10.23571429,-1290.817857,4.188928571,-84.94321429,-1.7425,-7.913214286,1.914642857,6.328928571
-4.035714286,-1430.817857,8.508928571,-324.0632143,-5.7425,-9.713214286,2.114642857,14.12892857
2.764285714,-803.8178571,10.74892857,229.8667857,-0.3425,5.386785714,-0.885357143,-0.971071429
-5.635714286,1931.182143,9.128928571,426.0067857,-11.9425,-3.913214286,0.614642857,4.628928571
1.964285714,-813.3178571,6.448928571,-258.6732143,0.5075,1.336785714,0.664642857,9.578928571
-0.935714286,-150.4178571,-6.031071429,-244.7732143,0.1975,-9.293214286,-0.645357143,-3.231071429
64.43571429,2142.817857,15.46107143,497.1232143,94.7425,79.41321429,3.885357143,15.37107143
